Accession,genome_count_A,genome_count_B,absent_count_A,absent_count_B,total_genomes_A,total_genomes_B,freq_A,freq_B,odds_ratio_A_vs_B,p_value,freq_difference_A_minus_B,absolute_freq_difference,freq_ratio,fdr_bh,significant_fdr,enriched_clade
VFG014129(gb|WP_003150889),252,2,8488,2837,8740,2839,0.028832951945080093,7.044734061289186e-4,42.10901034287008,1.798730995960378e-28,0.028128478538951174,0.028128478538951174,40.928375286041195,2.0226906395750524e-27,TRUE,Clade_A
VFG014130(gb|WP_012075034),252,2,8488,2837,8740,2839,0.028832951945080093,7.044734061289186e-4,42.10901034287008,1.798730995960378e-28,0.028128478538951174,0.028128478538951174,40.928375286041195,2.0226906395750524e-27,TRUE,Clade_A
VFG051825(gb|WP_003136992.1),4454,1109,4286,1730,8740,2839,0.5096109839816934,0.3906305036984854,1.6210173259340925,2.224460734364299e-28,0.11898048028320796,0.11898048028320796,1.3045857380739652,2.4892258168935127e-27,TRUE,Clade_A
VFG014118(gb|WP_012075024),251,2,8489,2837,8740,2839,0.02871853546910755,7.044734061289186e-4,41.93697158019231,2.8365617057909764e-28,0.028014062062978632,0.028014062062978632,40.76596109839817,3.0839206412722747e-27,TRUE,Clade_A
VFG014120(gb|WP_042169654),251,2,8489,2837,8740,2839,0.02871853546910755,7.044734061289186e-4,41.93697158019231,2.8365617057909764e-28,0.028014062062978632,0.028014062062978632,40.76596109839817,3.0839206412722747e-27,TRUE,Clade_A
VFG014122(gb|WP_003150874),251,2,8489,2837,8740,2839,0.02871853546910755,7.044734061289186e-4,41.93697158019231,2.8365617057909764e-28,0.028014062062978632,0.028014062062978632,40.76596109839817,3.0839206412722747e-27,TRUE,Clade_A
VFG014124(gb|WP_012075029),251,2,8489,2837,8740,2839,0.02871853546910755,7.044734061289186e-4,41.93697158019231,2.8365617057909764e-28,0.028014062062978632,0.028014062062978632,40.76596109839817,3.0839206412722747e-27,TRUE,Clade_A
VFG014125(gb|WP_012075030),251,2,8489,2837,8740,2839,0.02871853546910755,7.044734061289186e-4,41.93697158019231,2.8365617057909764e-28,0.028014062062978632,0.028014062062978632,40.76596109839817,3.0839206412722747e-27,TRUE,Clade_A
VFG014126(gb|WP_012075031),251,2,8489,2837,8740,2839,0.02871853546910755,7.044734061289186e-4,41.93697158019231,2.8365617057909764e-28,0.028014062062978632,0.028014062062978632,40.76596109839817,3.0839206412722747e-27,TRUE,Clade_A
VFG021820(gb|WP_003893504),8052,2407,688,432,8740,2839,0.9212814645308924,0.8478337442761535,2.100376017163579,3.839674256590736e-28,0.07344772025473889,0.07344772025473889,1.0866298619872055,4.154817332367523e-27,TRUE,Clade_A
VFG019728(gb|WP_003122078),4931,1267,3809,1572,8740,2839,0.564187643020595,0.44628390278266994,1.6060951321815062,9.700843484779267e-28,0.11790374023792505,0.11790374023792505,1.2641899909514358,1.0447762889241144e-26,TRUE,Clade_A
VFG014131(gb|WP_025297833),246,2,8494,2837,8740,2839,0.028146453089244853,7.044734061289186e-4,41.07738532240985,1.1880306524905179e-27,0.027441979683115934,0.027441979683115934,39.95389016018307,1.2735244471089943e-26,TRUE,Clade_A
VFG014135(gb|WP_025297832),255,4,8485,2835,8740,2839,0.02917620137299771,0.0014089468122578373,21.297748987099123,3.2568651194175087e-26,0.027767254560739873,0.027767254560739873,20.707808924485125,3.474999341369193e-25,TRUE,Clade_A
VFG014119(gb|WP_012075025),219,2,8521,2837,8740,2839,0.02505720823798627,7.044734061289186e-4,36.453049389636156,2.3877764156184363e-24,0.02435273483185735,0.02435273483185735,35.56870709382151,2.4785335282482773e-23,TRUE,Clade_A
VFG041011(gb|NP_248785),8681,2741,59,98,8740,2839,0.9932494279176202,0.965480803099683,5.2596610535458685,4.430439728529672e-24,0.027768624817937182,0.027768624817937182,1.0287614468654227,4.5781210528139946e-23,TRUE,Clade_A
VFG015432(gb|WP_011979131),2459,533,6281,2306,8740,2839,0.28135011441647595,0.1877421627333568,1.6937242946005369,4.5134567806465184e-24,0.09360795168311914,0.09360795168311914,1.4985984518356008,4.6429909662794235e-23,TRUE,Clade_A
VFG014128(gb|WP_012075033),215,2,8525,2837,8740,2839,0.02459954233409611,7.044734061289186e-4,35.77045353272425,6.0724628762604065e-24,0.02389506892796719,0.02389506892796719,34.91905034324943,6.218852606313113e-23,TRUE,Clade_A
VFG014123(gb|WP_003150878),214,2,8526,2837,8740,2839,0.02448512585812357,7.044734061289186e-4,35.59990463312649,9.943863642776874e-24,0.02378065245199465,0.02378065245199465,34.75663615560641,1.0138321420680066e-22,TRUE,Clade_A
